lonlat,date,lon,lat,sif,sif_sigma,year,doy,month,dayssinceapril1,group
x-122.7y39.5,2018-12-05,-122.699996948242,39.5000038146973,0.0535603016614914,0.253704011440277,2018,339,12,248,burned
x-122.7y39.5,2018-12-13,-122.699996948242,39.5000038146973,0.0437896996736527,0.260845988988876,2018,347,12,256,burned
x-122.7y39.5,2018-12-21,-122.699996948242,39.5000038146973,0.0921683982014656,0.253100007772446,2018,355,12,264,burned
x-122.7y39.5,2018-12-29,-122.699996948242,39.5000038146973,0.140889003872871,0.252588003873825,2018,363,12,272,burned
x-122.7y39.5,2019-01-06,-122.699996948242,39.5000038146973,0.140114992856979,0.334966003894806,2019,6,1,280,burned
x-122.7y39.5,2019-01-14,-122.699996948242,39.5000038146973,0.0358512997627258,0.369630992412567,2019,14,1,288,burned
x-122.7y39.5,2019-01-22,-122.699996948242,39.5000038146973,0.0943289995193481,0.266957014799118,2019,22,1,296,burned
x-122.7y39.5,2019-01-30,-122.699996948242,39.5000038146973,0.228607997298241,0.320881009101868,2019,30,1,304,burned
x-122.7y39.5,2019-02-07,-122.699996948242,39.5000038146973,-0.00542325992137194,0.459345012903214,2019,38,2,312,burned
x-122.7y39.5,2019-02-15,-122.699996948242,39.5000038146973,0.216103002429008,0.367859989404678,2019,46,2,320,burned
x-122.7y39.5,2019-02-23,-122.699996948242,39.5000038146973,0.19284899532795,0.485765993595123,2019,54,2,328,burned
x-122.7y39.5,2019-03-03,-122.699996948242,39.5000038146973,0.390933007001877,0.429105013608933,2019,62,3,336,burned
x-122.7y39.5,2019-03-11,-122.699996948242,39.5000038146973,0.162942007184029,0.339740991592407,2019,70,3,344,burned
x-122.7y39.5,2019-03-19,-122.699996948242,39.5000038146973,0.170163005590439,0.405865997076035,2019,78,3,352,burned
x-122.7y39.5,2019-03-27,-122.699996948242,39.5000038146973,0.219482004642487,0.382838010787964,2019,86,3,360,burned
x-122.7y39.5,2019-04-04,-122.699996948242,39.5000038146973,0.529451012611389,0.348836988210678,2019,94,4,368,burned
x-122.7y39.5,2019-04-12,-122.699996948242,39.5000038146973,0.197743996977806,0.353958010673523,2019,102,4,376,burned
x-122.7y39.5,2019-04-20,-122.699996948242,39.5000038146973,0.445798009634018,0.35479000210762,2019,110,4,384,burned
x-122.7y39.5,2019-04-28,-122.699996948242,39.5000038146973,0.380033999681473,0.354703992605209,2019,118,4,392,burned
x-122.7y39.5,2019-05-06,-122.699996948242,39.5000038146973,0.151145994663239,0.363090991973877,2019,126,5,400,burned
x-122.7y39.5,2019-05-14,-122.699996948242,39.5000038146973,0.323790997266769,0.444703012704849,2019,134,5,408,burned
x-122.7y39.5,2019-05-22,-122.699996948242,39.5000038146973,0.319692999124527,0.415870994329453,2019,142,5,416,burned
x-122.7y39.5,2019-05-30,-122.699996948242,39.5000038146973,0.466188997030258,0.371785014867783,2019,150,5,424,burned
x-122.7y39.5,2019-06-07,-122.699996948242,39.5000038146973,0.641480982303619,0.37628298997879,2019,158,6,432,burned
x-122.7y39.5,2019-06-15,-122.699996948242,39.5000038146973,0.688095986843109,0.379283010959625,2019,166,6,440,burned
x-122.7y39.5,2019-06-23,-122.699996948242,39.5000038146973,0.748018026351929,0.397549986839294,2019,174,6,448,burned
x-122.7y39.5,2019-07-01,-122.699996948242,39.5000038146973,0.620001018047333,0.378657996654511,2019,182,7,456,burned
x-122.7y39.5,2019-07-09,-122.699996948242,39.5000038146973,0.557672023773193,0.383790999650955,2019,190,7,464,burned
x-122.7y39.5,2019-07-17,-122.699996948242,39.5000038146973,0.520389974117279,0.374027997255325,2019,198,7,472,burned
x-122.7y39.5,2019-07-25,-122.699996948242,39.5000038146973,0.558385014533997,0.364558011293411,2019,206,7,480,burned
x-122.7y39.5,2019-08-02,-122.699996948242,39.5000038146973,0.420379012823105,0.425289005041122,2019,214,8,488,burned
x-122.7y39.5,2019-08-10,-122.699996948242,39.5000038146973,0.505210995674133,0.421364992856979,2019,222,8,496,burned
x-122.7y39.5,2019-08-18,-122.699996948242,39.5000038146973,0.445710986852646,0.41202899813652,2019,230,8,504,burned
x-122.7y39.5,2019-08-26,-122.699996948242,39.5000038146973,0.291740000247955,0.40897798538208,2019,238,8,512,burned
x-122.7y39.5,2019-09-03,-122.699996948242,39.5000038146973,0.393525004386902,0.417645990848541,2019,246,9,520,burned
x-122.7y39.5,2019-09-11,-122.699996948242,39.5000038146973,0.401767998933792,0.396528989076614,2019,254,9,528,burned
x-122.7y39.5,2019-09-19,-122.699996948242,39.5000038146973,0.31700199842453,0.377570003271103,2019,262,9,536,burned
x-122.7y39.5,2019-09-27,-122.699996948242,39.5000038146973,0.404159992933273,0.400168985128403,2019,270,9,544,burned
x-122.7y39.5,2019-10-05,-122.699996948242,39.5000038146973,0.343647986650467,0.35529100894928,2019,278,10,552,burned
x-122.7y39.5,2019-10-13,-122.699996948242,39.5000038146973,0.227279007434845,0.358148008584976,2019,286,10,560,burned
x-122.7y39.5,2019-10-21,-122.699996948242,39.5000038146973,0.280169993638992,0.336661994457245,2019,294,10,568,burned
x-122.7y39.5,2019-10-29,-122.699996948242,39.5000038146973,0.256754994392395,0.329971998929977,2019,302,10,576,burned
x-122.7y39.5,2019-11-06,-122.699996948242,39.5000038146973,0.0539213009178639,0.32804200053215,2019,310,11,584,burned
x-122.7y39.5,2019-11-14,-122.699996948242,39.5000038146973,0.118440002202988,0.323641985654831,2019,318,11,592,burned
x-122.7y39.5,2019-11-22,-122.699996948242,39.5000038146973,0.0600305981934071,0.32175800204277,2019,326,11,600,burned
x-122.7y39.5,2019-11-30,-122.699996948242,39.5000038146973,0.25756499171257,0.385185986757278,2019,334,11,608,burned
x-122.7y39.5,2019-12-08,-122.699996948242,39.5000038146973,0.0532788001000881,0.330630004405975,2019,342,12,616,burned
x-122.7y39.5,2019-12-16,-122.699996948242,39.5000038146973,0.281046003103256,0.324849992990494,2019,350,12,624,burned
